"","NOM_MUN","MIN","PROM","MAX"
"1","Apodaca","4.88","11.55","17.2"
"2","Cadereyta Jiménez","3.75"," 9.76","16.7"
"3","Ciénega de Flores","5.82"," 9.40","14.1"
"4","El Carmen","6.56"," 9.50","15.8"
"5","García","4.64","10.62","18.3"
"6","General Escobedo","3.83","10.61","17.6"
"7","General Zuazua","5.33"," 9.68","14.9"
"8","Guadalupe","4.10","11.11","18.0"
"9","Hidalgo","4.33"," 9.92","15.2"
"10","Juárez","4.00"," 9.95","17.8"
"11","Monterrey","0.00","11.48","19.0"
"12","Pesquería","4.11"," 9.55","16.1"
"13","Salinas Victoria","5.00"," 9.51","13.6"
"14","San Nicolás de los Garza","3.43","11.94","17.2"
"15","San Pedro Garza García","5.23","13.23","18.4"
"16","Santa Catarina","0.00","10.73","18.6"
"17","Santiago","4.71","10.80","16.8"
